query_id,reference_id,identity
8268c48d2b23446ba734d1ee5013cf4c_1,modB,35.61643835616438
8268c48d2b23446ba734d1ee5013cf4c_2,modC,46.22641509433962
f281946763324c7eb11347689e2b5178_1,modB,86.40350877192982
f281946763324c7eb11347689e2b5178_2,modC,90.29126213592234
99533e071abb4d799e8fdd62da1886f5_1,modC,61.14457831325302
e6b7282844eb4a99b5a1add9da554507_1,modC,78.3132530120482
f7596e30604a44238e2b9d329d94615e_1,modA,67.98418972332016
81dccc2eb96c4430954a11f5417d6c08_1,modA,63.13725490196078
377914a1f50242259778d76aece08559_1,modB,87.55555555555556
377914a1f50242259778d76aece08559_2,modA,82.35294117647058
